,unres,resid,Country_ru,year_ru,vote_ru,Country_tr,year_tr,vote_tr,vote_rutr
0,R/1/66,1001,RUS,1946,3,TUR,1946,1,Disagreed
1,R/1/79,1002,RUS,1946,1,TUR,1946,3,Disagreed
2,R/1/98,1003,RUS,1946,1,TUR,1946,1,Agreed
3,R/1/107,1004,RUS,1946,3,TUR,1946,3,Agreed
4,R/1/295,1005,RUS,1946,3,TUR,1946,1,Disagreed
5,R/1/297,1006,RUS,1946,1,TUR,1946,1,Agreed
6,R/1/329,1007,RUS,1946,1,TUR,1946,1,Agreed
7,R/1/361,1008,RUS,1946,1,TUR,1946,1,Agreed
8,R/1/376,1009,RUS,1946,1,TUR,1946,1,Agreed
9,R/1/394,1010,RUS,1946,3,TUR,1946,3,Agreed
10,R/1/434,1011,RUS,1946,1,TUR,1946,3,Disagreed
11,R/1/435,1012,RUS,1946,1,TUR,1946,3,Disagreed
12,R/1/435,1013,RUS,1946,1,TUR,1946,3,Disagreed
13,R/1/467,1014,RUS,1946,3,TUR,1946,3,Agreed
14,R/1/467B,1015,RUS,1946,3,TUR,1946,1,Disagreed
15,R/1/532,1016,RUS,1946,1,TUR,1946,3,Disagreed
16,R/1/534,1017,RUS,1946,3,TUR,1946,1,Disagreed
17,R/1/1060,1018,RUS,1946,3,TUR,1946,1,Disagreed
18,R/1/1061A,1019,RUS,1946,3,TUR,1946,1,Disagreed
19,R/1/1061B,1020,RUS,1946,1,TUR,1946,2,Disagreed
20,R/1/1222,1021,RUS,1946,1,TUR,1946,2,Disagreed
21,R/1/1229,1022,RUS,1946,3,TUR,1946,1,Disagreed
22,R/1/1264,1023,RUS,1946,3,TUR,1946,1,Disagreed
23,R/1/1286,1024,RUS,1946,1,TUR,1946,3,Disagreed
24,R/1/1287/A,1025,RUS,1946,3,TUR,1946,1,Disagreed
25,R/1/1287/B,1026,RUS,1946,3,TUR,1946,1,Disagreed
26,R/1/1287C,1027,RUS,1946,3,TUR,1946,1,Disagreed
27,R/1/1288A,1028,RUS,1946,3,TUR,1946,1,Disagreed
28,GOAR/1/1288B,1029,RUS,1946,3,TUR,1946,1,Disagreed
29,R/1/1288C,1030,RUS,1946,3,TUR,1946,1,Disagreed
30,R/1/1288D,1031,RUS,1946,3,TUR,1946,1,Disagreed
31,R/1/1288E,1032,RUS,1946,3,TUR,1946,1,Disagreed
32,R/1/1327,1033,RUS,1946,1,TUR,1946,2,Disagreed
33,R/1/1355,1034,RUS,1946,3,TUR,1946,1,Disagreed
34,R/1/1356,1035,RUS,1946,3,TUR,1946,1,Disagreed
35,R/1/1357,1036,RUS,1946,2,TUR,1946,1,Disagreed
36,R/1/1369,1037,RUS,1946,1,TUR,1946,2,Disagreed
37,R/1/1375,1038,RUS,1946,1,TUR,1946,1,Agreed
38,R/1/1414A,1039,RUS,1946,1,TUR,1946,3,Disagreed
39,R/1/1414B,1040,RUS,1946,1,TUR,1946,3,Disagreed
40,R/1/1415,1041,RUS,1946,2,TUR,1946,1,Disagreed
41,R/1/1453,1042,RUS,1946,3,TUR,1946,2,Disagreed
42,R/1/1465,1043,RUS,1946,1,TUR,1946,3,Disagreed
43,R/2/299,2001,RUS,1947,3,TUR,1947,1,Disagreed
44,R/2/355,2002,RUS,1947,3,TUR,1947,1,Disagreed
45,R/2/461,2003,RUS,1947,3,TUR,1947,1,Disagreed
46,R/2/463,2004,RUS,1947,1,TUR,1947,3,Disagreed
47,R/2/465,2005,RUS,1947,1,TUR,1947,3,Disagreed
48,R/2/561,2006,RUS,1947,1,TUR,1947,3,Disagreed
49,R/2/650,2007,RUS,1947,3,TUR,1947,1,Disagreed
50,R/2/651,2008,RUS,1947,1,TUR,1947,3,Disagreed
51,R/2/651,2009,RUS,1947,1,TUR,1947,3,Disagreed
52,R/2/667,2010,RUS,1947,1,TUR,1947,3,Disagreed
53,R/2/719,2011,RUS,1947,3,TUR,1947,1,Disagreed
54,R/2/743,2012,RUS,1947,3,TUR,1947,2,Disagreed
55,R/2/744,2013,RUS,1947,1,TUR,1947,2,Disagreed
56,R/2/858,2014,RUS,1947,1,TUR,1947,3,Disagreed
57,R/2/940A,2015,RUS,1947,3,TUR,1947,3,Agreed
58,R/2/940B,2016,RUS,1947,1,TUR,1947,3,Disagreed
59,R/2/1078A,2017,RUS,1947,3,TUR,1947,1,Disagreed
60,R/2/1078B,2018,RUS,1947,3,TUR,1947,1,Disagreed
61,R/2/1079A,2019,RUS,1947,3,TUR,1947,1,Disagreed
62,R/2/1079B,2020,RUS,1947,3,TUR,1947,1,Disagreed
63,R/2/1079C,2021,RUS,1947,3,TUR,1947,1,Disagreed
64,R/2/1080,2022,RUS,1947,3,TUR,1947,1,Disagreed
65,R/2/1095A,2023,RUS,1947,1,TUR,1947,2,Disagreed
66,R/2/1095B,2024,RUS,1947,1,TUR,1947,3,Disagreed
67,R/2/1096,2025,RUS,1947,1,TUR,1947,2,Disagreed
68,R/2/1169,2026,RUS,1947,1,TUR,1947,1,Agreed
69,R/2/1170,2027,RUS,1947,3,TUR,1947,3,Agreed
70,R/2/1214,2028,RUS,1947,1,TUR,1947,1,Agreed
71,R/2/1305,2029,RUS,1947,3,TUR,1947,2,Disagreed
72,R/2/1306A,2030,RUS,1947,3,TUR,1947,2,Disagreed
73,R/2/1306B,2031,RUS,1947,2,TUR,1947,2,Agreed
74,R/2/1424,2032,RUS,1947,1,TUR,1947,3,Disagreed
75,SS/1/59,2033,RUS,1947,1,TUR,1947,1,Agreed
76,SS/1/114,2034,RUS,1947,1,TUR,1947,3,Disagreed
77,SS/1/115,2035,RUS,1947,1,TUR,1947,3,Disagreed
78,SS/1/175,2036,RUS,1947,2,TUR,1947,2,Agreed
79,SS/1/176A,2037,RUS,1947,1,TUR,1947,3,Disagreed
80,SS/1/176B,2038,RUS,1947,1,TUR,1947,3,Disagreed
81,R/3/103,3001,RUS,1948,1,TUR,1948,2,Disagreed
82,R/3/108,3002,RUS,1948,1,TUR,1948,2,Disagreed
83,R/3/367,3003,RUS,1948,1,TUR,1948,3,Disagreed
84,R/3/393A,3004,RUS,1948,3,TUR,1948,1,Disagreed
85,R/3/393B,3005,RUS,1948,3,TUR,1948,1,Disagreed
86,R/3/393C,3006,RUS,1948,2,TUR,1948,1,Disagreed
87,R/3/394,3007,RUS,1948,2,TUR,1948,1,Disagreed
88,R/3/468,3008,RUS,1948,1,TUR,1948,3,Disagreed
89,R/3/469A,3009,RUS,1948,3,TUR,1948,2,Disagreed
90,R/3/469B,3010,RUS,1948,3,TUR,1948,3,Agreed
91,R/3/489,3011,RUS,1948,1,TUR,1948,3,Disagreed
92,R/3/490A,3012,RUS,1948,1,TUR,1948,3,Disagreed
93,R/3/490B,3013,RUS,1948,1,TUR,1948,3,Disagreed
94,R/3/491A,3014,RUS,1948,1,TUR,1948,3,Disagreed
95,R/3/491B,3015,RUS,1948,1,TUR,1948,3,Disagreed
96,R/3/497,3016,RUS,1948,3,TUR,1948,1,Disagreed
97,R/3/564A,3017,RUS,1948,1,TUR,1948,3,Disagreed
98,R/3/564B,3018,RUS,1948,1,TUR,1948,3,Disagreed
99,R/3/565A,3019,RUS,1948,1,TUR,1948,3,Disagreed
100,R/3/565B,3020,RUS,1948,1,TUR,1948,3,Disagreed
101,R/3/566A,3021,RUS,1948,1,TUR,1948,3,Disagreed
102,R/3/566B,3022,RUS,1948,1,TUR,1948,3,Disagreed
103,R/3/566C,3023,RUS,1948,1,TUR,1948,3,Disagreed
104,R/3/567,3024,RUS,1948,1,TUR,1948,3,Disagreed
105,R/3/592,3025,RUS,1948,1,TUR,1948,3,Disagreed
106,R/3/609,3026,RUS,1948,1,TUR,1948,3,Disagreed
107,R/3/663,3027,RUS,1948,1,TUR,1948,3,Disagreed
108,R/3/701,3028,RUS,1948,2,TUR,1948,1,Disagreed
109,R/3/708,3029,RUS,1948,3,TUR,1948,2,Disagreed
110,R/3/709,3030,RUS,1948,3,TUR,1948,1,Disagreed
111,R/3/729,3031,RUS,1948,1,TUR,1948,3,Disagreed
112,R/3/730,3032,RUS,1948,3,TUR,1948,3,Agreed
113,R/3/731,3033,RUS,1948,2,TUR,1948,3,Disagreed
114,R/3/732,3034,RUS,1948,2,TUR,1948,3,Disagreed
115,R/3/733,3035,RUS,1948,3,TUR,1948,1,Disagreed
116,R/3/754,3036,RUS,1948,1,TUR,1948,3,Disagreed
117,R/3/756,3037,RUS,1948,3,TUR,1948,1,Disagreed
118,R/3/757,3038,RUS,1948,3,TUR,1948,1,Disagreed
119,R/3/766,3039,RUS,1948,1,TUR,1948,3,Disagreed
120,R/3/801,3040,RUS,1948,3,TUR,1948,1,Disagreed
121,R/3/847,3041,RUS,1948,1,TUR,1948,3,Disagreed
122,R/3/848A,3042,RUS,1948,1,TUR,1948,2,Disagreed
123,R/3/848B,3043,RUS,1948,1,TUR,1948,3,Disagreed
124,R/3/849,3044,RUS,1948,1,TUR,1948,3,Disagreed
125,R/3/851,3045,RUS,1948,1,TUR,1948,1,Agreed
126,R/3/930,3046,RUS,1948,1,TUR,1948,3,Disagreed
127,R/3/931A,3047,RUS,1948,1,TUR,1948,3,Disagreed
128,R/3/931B,3048,RUS,1948,1,TUR,1948,3,Disagreed
129,R/3/931C,3049,RUS,1948,1,TUR,1948,3,Disagreed
130,R/3/933,3050,RUS,1948,2,TUR,1948,1,Disagreed
131,R/3/993A,3051,RUS,1948,1,TUR,1948,3,Disagreed
132,R/3/993B,3052,RUS,1948,3,TUR,1948,1,Disagreed
133,R/3/995,3053,RUS,1948,2,TUR,1948,2,Agreed
134,R/3/996,3054,RUS,1948,3,TUR,1948,1,Disagreed
135,R/3/997,3055,RUS,1948,1,TUR,1948,1,Agreed
136,R/3/1002,3056,RUS,1948,2,TUR,1948,1,Disagreed
137,R/3/1042,3057,RUS,1948,3,TUR,1948,1,Disagreed
138,R/3/36A,3058,RUS,1949,3,TUR,1949,2,Disagreed
139,R/3/36B,3059,RUS,1949,1,TUR,1949,2,Disagreed
140,R/3/47A,3060,RUS,1949,1,TUR,1949,1,Agreed
141,R/3/47B,3061,RUS,1949,3,TUR,1949,1,Disagreed
142,R/3/129A,3062,RUS,1949,1,TUR,1949,2,Disagreed
143,R/3/129B,3063,RUS,1949,1,TUR,1949,3,Disagreed
144,R/3/130A,3064,RUS,1949,1,TUR,1949,3,Disagreed
145,R/3/130B,3065,RUS,1949,1,TUR,1949,3,Disagreed
146,R/3/163,3066,RUS,1949,3,TUR,1949,8,Disagreed
147,R/3/163,3067,RUS,1949,3,TUR,1949,8,Disagreed
148,R/3/272A,3068,RUS,1949,2,TUR,1949,1,Disagreed
149,R/3/272B,3069,RUS,1949,3,TUR,1949,1,Disagreed
150,R/3/272C,3070,RUS,1949,3,TUR,1949,1,Disagreed
151,R/3/330,3071,RUS,1949,1,TUR,1949,2,Disagreed
152,R/3/426,3072,RUS,1949,3,TUR,1949,1,Disagreed
153,R/3/455,3073,RUS,1949,2,TUR,1949,1,Disagreed
154,R/3/501A,3074,RUS,1949,3,TUR,1949,1,Disagreed
155,R/3/501B,3075,RUS,1949,1,TUR,1949,3,Disagreed
156,R/3/502A,3076,RUS,1949,1,TUR,1949,3,Disagreed
157,R/3/502B,3077,RUS,1949,1,TUR,1949,3,Disagreed
158,R/3/502C,3078,RUS,1949,1,TUR,1949,3,Disagreed
